element,x,y,z
P,2.8660,0.0000,0.0000
F,3.7321,0.5000,0.0000
F,2.0000,-0.5000,0.0000
F,2.0000,0.5000,0.0000
F,2.8660,-1.0000,0.0000
F,2.8660,1.0000,0.0000
F,3.7321,-0.5000,0.0000
