element,x,y,z
S,0.1817,0.0065,-0.5212
O,1.4801,0.0532,0.2284
C,-0.8792,1.3112,0.1464
C,-0.7826,-1.3709,0.1464
H,-0.4483,2.2796,-0.1182
H,-0.9369,1.2252,1.2341
H,-1.8773,1.2284,-0.2901
H,-1.784,-1.3601,-0.29
H,-0.8463,-1.2894,1.2341
H,-0.2831,-2.3059,-0.1182
