element,x,y,z
O,1.8969,-0.0047,0.0
N,-0.4461,-0.0117,0.0
C,-0.6211,1.431,0.0
C,-1.6456,-0.8315,0.0
C,0.8159,-0.5832,0.0
H,-1.1818,1.7184,0.894
H,-1.1818,1.7183,-0.8939
H,0.3428,1.9465,0.0
H,-2.2316,-0.5996,0.8939
H,-1.3969,-1.8962,0.0
H,-2.2315,-0.5997,-0.8941
H,0.7702,-1.6845,0.0
