element,x,y,z
O,0.0008,-0.2762,0.0
C,1.1747,0.5222,0.0
C,-1.1754,0.5226,0.0
C,2.3873,-0.384,0.0
C,-2.3874,-0.3844,0.0
H,1.1905,1.159,-0.8916
H,1.1905,1.1588,0.8916
H,-1.1909,1.159,0.8918
H,-1.1908,1.159,-0.8918
H,3.3119,0.2,0.0
H,2.3814,-1.0362,0.8796
H,2.3815,-1.0362,-0.8796
H,-3.3125,0.1989,0.0001
H,-2.381,-1.0366,-0.8796
H,-2.3811,-1.0366,0.8796
